product_id,product_name,brand,category,release_year,aliases
iphone-17,iPhone 17,Apple,Điện thoại,2025,iphone 17
iphone-17-air,iPhone 17 Air,Apple,Điện thoại,2025,iphone 17 air
iphone-17-pro,iPhone 17 Pro,Apple,Điện thoại,2025,iphone 17 pro
iphone-17-pro-max,iPhone 17 Pro Max,Apple,Điện thoại,2025,iphone 17 pro max
iphone-16,iPhone 16,Apple,Điện thoại,2024,iphone 16
iphone-16-plus,iPhone 16 Plus,Apple,Điện thoại,2024,iphone 16 plus
iphone-16-pro,iPhone 16 Pro,Apple,Điện thoại,2024,iphone 16 pro
iphone-16-pro-max,iPhone 16 Pro Max,Apple,Điện thoại,2024,iphone 16 pro max
iphone-16e,iPhone 16e,Apple,Điện thoại,2024,iphone 16e
iphone-15,iPhone 15,Apple,Điện thoại,2023,iphone 15
iphone-15-plus,iPhone 15 Plus,Apple,Điện thoại,2023,iphone 15 plus
iphone-15-pro,iPhone 15 Pro,Apple,Điện thoại,2023,iphone 15 pro
iphone-15-pro-max,iPhone 15 Pro Max,Apple,Điện thoại,2023,iphone 15 pro max
iphone-14,iPhone 14,Apple,Điện thoại,2022,iphone 14
iphone-14-plus,iPhone 14 Plus,Apple,Điện thoại,2022,iphone 14 plus
iphone-14-pro,iPhone 14 Pro,Apple,Điện thoại,2022,iphone 14 pro
iphone-14-pro-max,iPhone 14 Pro Max,Apple,Điện thoại,2022,iphone 14 pro max
iphone-13,iPhone 13,Apple,Điện thoại,2021,iphone 13
iphone-13-mini,iPhone 13 mini,Apple,Điện thoại,2021,iphone 13 mini
iphone-13-pro,iPhone 13 Pro,Apple,Điện thoại,2021,iphone 13 pro
iphone-13-pro-max,iPhone 13 Pro Max,Apple,Điện thoại,2021,iphone 13 pro max
iphone-12,iPhone 12,Apple,Điện thoại,2020,iphone 12
iphone-12-mini,iPhone 12 mini,Apple,Điện thoại,2020,iphone 12 mini
iphone-12-pro,iPhone 12 Pro,Apple,Điện thoại,2020,iphone 12 pro
iphone-12-pro-max,iPhone 12 Pro Max,Apple,Điện thoại,2020,iphone 12 pro max
iphone-11,iPhone 11,Apple,Điện thoại,2019,iphone 11
iphone-6,iPhone 6,Apple,Điện thoại,2014,iphone 6
samsung-galaxy-s26,Samsung Galaxy S26,Samsung,Điện thoại,2026,Galaxy S26|samsung galaxy s26
samsung-galaxy-s26-plus,Samsung Galaxy S26+,Samsung,Điện thoại,2026,Galaxy S26+|samsung galaxy s26+
samsung-galaxy-s26-ultra,Samsung Galaxy S26 Ultra,Samsung,Điện thoại,2026,Galaxy S26 Ultra|samsung galaxy s26 ultra
samsung-galaxy-s26-fe,Samsung Galaxy S26 FE,Samsung,Điện thoại,2026,Galaxy S26 FE|samsung galaxy s26 fe
samsung-galaxy-s25,Samsung Galaxy S25,Samsung,Điện thoại,2025,Galaxy S25|samsung galaxy s25
samsung-galaxy-s25-plus,Samsung Galaxy S25+,Samsung,Điện thoại,2025,Galaxy S25+|samsung galaxy s25+
samsung-galaxy-s25-ultra,Samsung Galaxy S25 Ultra,Samsung,Điện thoại,2025,Galaxy S25 Ultra|samsung galaxy s25 ultra
samsung-galaxy-s25-fe,Samsung Galaxy S25 FE,Samsung,Điện thoại,2025,Galaxy S25 FE|samsung galaxy s25 fe
samsung-galaxy-s24,Samsung Galaxy S24,Samsung,Điện thoại,2024,Galaxy S24|samsung galaxy s24
samsung-galaxy-s24-plus,Samsung Galaxy S24+,Samsung,Điện thoại,2024,Galaxy S24+|samsung galaxy s24+
samsung-galaxy-s24-ultra,Samsung Galaxy S24 Ultra,Samsung,Điện thoại,2024,Galaxy S24 Ultra|samsung galaxy s24 ultra
samsung-galaxy-s24-fe,Samsung Galaxy S24 FE,Samsung,Điện thoại,2024,Galaxy S24 FE|samsung galaxy s24 fe
samsung-galaxy-s23,Samsung Galaxy S23,Samsung,Điện thoại,2023,Galaxy S23|samsung galaxy s23
samsung-galaxy-s23-plus,Samsung Galaxy S23+,Samsung,Điện thoại,2023,Galaxy S23+|samsung galaxy s23+
samsung-galaxy-s23-ultra,Samsung Galaxy S23 Ultra,Samsung,Điện thoại,2023,Galaxy S23 Ultra|samsung galaxy s23 ultra
samsung-galaxy-s23-fe,Samsung Galaxy S23 FE,Samsung,Điện thoại,2023,Galaxy S23 FE|samsung galaxy s23 fe
samsung-galaxy-s22,Samsung Galaxy S22,Samsung,Điện thoại,2022,Galaxy S22|samsung galaxy s22
samsung-galaxy-s22-plus,Samsung Galaxy S22+,Samsung,Điện thoại,2022,Galaxy S22+|samsung galaxy s22+
samsung-galaxy-s22-ultra,Samsung Galaxy S22 Ultra,Samsung,Điện thoại,2022,Galaxy S22 Ultra|samsung galaxy s22 ultra
samsung-galaxy-s22-fe,Samsung Galaxy S22 FE,Samsung,Điện thoại,2022,Galaxy S22 FE|samsung galaxy s22 fe
samsung-galaxy-s21,Samsung Galaxy S21,Samsung,Điện thoại,2021,Galaxy S21|samsung galaxy s21
samsung-galaxy-s21-plus,Samsung Galaxy S21+,Samsung,Điện thoại,2021,Galaxy S21+|samsung galaxy s21+
samsung-galaxy-s21-ultra,Samsung Galaxy S21 Ultra,Samsung,Điện thoại,2021,Galaxy S21 Ultra|samsung galaxy s21 ultra
samsung-galaxy-s21-fe,Samsung Galaxy S21 FE,Samsung,Điện thoại,2021,Galaxy S21 FE|samsung galaxy s21 fe
samsung-galaxy-s20,Samsung Galaxy S20,Samsung,Điện thoại,2020,Galaxy S20|samsung galaxy s20
samsung-galaxy-s20-plus,Samsung Galaxy S20+,Samsung,Điện thoại,2020,Galaxy S20+|samsung galaxy s20+
samsung-galaxy-s20-ultra,Samsung Galaxy S20 Ultra,Samsung,Điện thoại,2020,Galaxy S20 Ultra|samsung galaxy s20 ultra
samsung-galaxy-s20-fe,Samsung Galaxy S20 FE,Samsung,Điện thoại,2020,Galaxy S20 FE|samsung galaxy s20 fe
samsung-galaxy-s6,Samsung Galaxy S6,Samsung,Điện thoại,2015,Galaxy S6|samsung galaxy s6
samsung-galaxy-z-fold7,Samsung Galaxy Z Fold7,Samsung,Điện thoại,2025,Galaxy Z Fold7|samsung galaxy z fold7
samsung-galaxy-z-flip7,Samsung Galaxy Z Flip7,Samsung,Điện thoại,2025,Galaxy Z Flip7|samsung galaxy z flip7
samsung-galaxy-z-fold6,Samsung Galaxy Z Fold6,Samsung,Điện thoại,2024,Galaxy Z Fold6|samsung galaxy z fold6
samsung-galaxy-z-flip6,Samsung Galaxy Z Flip6,Samsung,Điện thoại,2024,Galaxy Z Flip6|samsung galaxy z flip6
samsung-galaxy-z-fold5,Samsung Galaxy Z Fold5,Samsung,Điện thoại,2023,Galaxy Z Fold5|samsung galaxy z fold5
samsung-galaxy-z-flip5,Samsung Galaxy Z Flip5,Samsung,Điện thoại,2023,Galaxy Z Flip5|samsung galaxy z flip5
samsung-galaxy-z-fold4,Samsung Galaxy Z Fold4,Samsung,Điện thoại,2022,Galaxy Z Fold4|samsung galaxy z fold4
samsung-galaxy-z-flip4,Samsung Galaxy Z Flip4,Samsung,Điện thoại,2022,Galaxy Z Flip4|samsung galaxy z flip4
samsung-galaxy-a06,Samsung Galaxy A06,Samsung,Điện thoại,2025,Galaxy A06|samsung galaxy a06
samsung-galaxy-a16,Samsung Galaxy A16,Samsung,Điện thoại,2025,Galaxy A16|samsung galaxy a16
samsung-galaxy-a26,Samsung Galaxy A26,Samsung,Điện thoại,2025,Galaxy A26|samsung galaxy a26
samsung-galaxy-a36,Samsung Galaxy A36,Samsung,Điện thoại,2025,Galaxy A36|samsung galaxy a36
samsung-galaxy-a56,Samsung Galaxy A56,Samsung,Điện thoại,2025,Galaxy A56|samsung galaxy a56
